Time,Device_1,Device_2,Device_3,Device_4,Device_5
2024-07-29 10:32:55,-51,-43,-35,-54,-62
2024-07-29 10:32:56,-57,-40,-59,-65,-46
2024-07-29 10:32:57,-58,-64,-33,-56,-32
2024-07-29 10:32:58,-53,-30,-48,-52,-70
2024-07-29 10:32:59,-66,-50,-36,-58,-53
2024-07-29 10:33:00,-60,-64,-57,-66,-40
2024-07-29 10:33:01,-60,-61,-60,-70,-30
2024-07-29 10:33:02,-47,-60,-70,-40,-67
2024-07-29 10:33:03,-56,-59,-64,-35,-64
2024-07-29 10:33:04,-47,-43,-40,-53,-39
2024-07-29 10:33:05,-87,-86,-96,-84,-100
2024-07-29 10:33:06,-99,-83,-100,-90,-91
2024-07-29 10:33:07,-97,-100,-83,-95,-91
2024-07-29 10:33:08,-85,-84,-92,-88,-87
2024-07-29 10:33:09,-87,-97,-88,-92,-98
2024-07-29 10:33:10,-81,-89,-86,-82,-90
2024-07-29 10:33:11,-92,-86,-97,-94,-99
2024-07-29 10:33:12,-90,-81,-89,-100,-92
2024-07-29 10:33:13,-97,-82,-82,-84,-82
2024-07-29 10:33:14,-100,-87,-91,-91,-85
2024-07-29 10:33:15,-51,-69,-42,-41,-60
2024-07-29 10:33:16,-54,-62,-68,-49,-37
2024-07-29 10:33:17,-39,-61,-35,-48,-57
2024-07-29 10:33:18,-40,-59,-47,-69,-69
2024-07-29 10:33:19,-33,-52,-62,-39,-40
2024-07-29 10:33:20,-54,-39,-70,-61,-49
2024-07-29 10:33:21,-41,-30,-64,-30,-41
2024-07-29 10:33:22,-69,-38,-66,-34,-65
2024-07-29 10:33:23,-64,-43,-45,-53,-51
2024-07-29 10:33:24,-32,-42,-54,-36,-40
2024-07-29 10:33:25,-87,-97,-97,-100,-81
2024-07-29 10:33:26,-93,-84,-97,-98,-81
2024-07-29 10:33:27,-96,-86,-94,-98,-99
2024-07-29 10:33:28,-94,-87,-91,-99,-83
2024-07-29 10:33:29,-81,-89,-85,-81,-95
2024-07-29 10:33:30,-82,-95,-84,-97,-97
2024-07-29 10:33:31,-91,-100,-94,-97,-84
2024-07-29 10:33:32,-81,-86,-88,-81,-96
2024-07-29 10:33:33,-86,-85,-99,-91,-91
2024-07-29 10:33:34,-90,-89,-85,-90,-94
2024-07-29 10:33:35,-38,-52,-57,-53,-58
2024-07-29 10:33:36,-62,-31,-34,-55,-58
2024-07-29 10:33:37,-62,-39,-35,-48,-65
2024-07-29 10:33:38,-47,-69,-42,-55,-36
2024-07-29 10:33:39,-41,-62,-33,-62,-47
2024-07-29 10:33:40,-42,-68,-57,-43,-48
2024-07-29 10:33:41,-51,-33,-30,-56,-53
2024-07-29 10:33:42,-50,-66,-35,-31,-32
2024-07-29 10:33:43,-45,-40,-35,-54,-47
2024-07-29 10:33:44,-47,-40,-38,-46,-70
2024-07-29 10:33:45,-98,-93,-84,-95,-82
2024-07-29 10:33:46,-86,-94,-93,-97,-93
2024-07-29 10:33:47,-99,-99,-88,-83,-98
2024-07-29 10:33:48,-94,-87,-93,-87,-98
2024-07-29 10:33:49,-81,-91,-87,-98,-94
2024-07-29 10:33:50,-93,-99,-84,-84,-83
2024-07-29 10:33:51,-90,-92,-87,-83,-97
2024-07-29 10:33:52,-89,-94,-96,-81,-81
2024-07-29 10:33:53,-93,-96,-99,-100,-87
2024-07-29 10:33:54,-88,-100,-82,-96,-91
